City,Bank Name,Acquiring Institution,State,Latitude,Longitude,Closing Date
Pine City,Horizon Bank,"Stearns Bank, N.A.",MN,45.8260672,-92.9685423,2009-06-26
Newnan,Neighborhood Community Bank,CharterBank,GA,33.3806716,-84.7996573,2009-06-26
Villa Rica,Community Bank of West Georgia,No Acquirer,GA,33.732052,-84.9191081,2009-06-26
Anthony,First National Bank of Anthony,Bank of Kansas,KS,37.1533554,-98.0311728,2009-06-19
Wilmington,Cooperative Bank,First Bank,NC,34.2257282,-77.9447107,2009-06-19
Fayetteville,Southern Community Bank,United Community Bank,GA,33.4487257,-84.4549262,2009-06-19
Lincolnwood,Bank of Lincolnwood,Republic Bank of Chicago,IL,42.0055985,-87.735572,2009-06-05
Macomb,Citizens National Bank,Morton Community Bank,IL,40.4588934,-90.6713939,2009-05-22
Champaign,Strategic Capital Bank,Midland States Bank,IL,40.1164841,-88.2430932,2009-05-22
Coral Gables,"BankUnited, FSB",BankUnited,FL,25.72149,-80.2683838,2009-05-21
Bremerton,Westsound Bank,Kitsap Bank,WA,47.5653663,-122.6246836,2009-05-08
Layton,America West Bank,Cache Valley Bank,UT,41.0751048,-111.9741925,2009-05-01
